regione,provincia,citta,operatore_nome,telefono,whatsapp,portale,n_auto_in_stock_visibili,indirizzo_visibile,flag_residenziale_si_no,flag_micro_operatore_plausibile,multi_brand,accesso_clienti,note,url_profilo_venditore
Marche,AN,Ancona,Gruppo S2 Padova,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a6-avant-40-2-0-tdi-quattro-ultra-s-tronic-s-line-edition-sconto-immediato-km0-elettrica-diesel-grigio-cat_ma9mo1628-aa087125-3de6-4422-a713-f92cb91b37bc
Marche,AN,Ancona,Rossocorsa Bolzano,,,autoscout24,2,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q3-sportback-s-line-265-cv-quattro-prezzo-reale-pronta-consegna-introvabile-benzina-bianco-cat_ma9mo19715-f0e7bac1-9c57-4bec-b127-976f26f25e76
Marche,AN,Ancona,AutomercatoGenova,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-rs6-avant-4-0-tfsi-v8-tiptronic-tetto-carboceramici-22-elettrica-benzina-nero-cat_ma9mo19732-04b64015-c6ed-472c-a317-8b123f870e9f
Marche,AN,Ancona,Marino Collection di Marino Giuseppe,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-rs-q3-sportback-sportback-2-5-quattro-s-tronic-benzina-nero-cat_ma9mo20385-34d7ddec-6728-45b6-a665-55c86591b15c
Marche,AN,Ancona,Centroauto di  Analini Iris,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a4-avant-40-tfsi-204-cv-quattro-s-tronic-2xs-line-benzina-nero-cat_ma9mo1626-7bc38f9f-d4d6-43da-bee7-243661691493
Marche,AN,Ancona,Salzano Lorenzo,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-panamera-panamera-ii-2017-sport-turismo-2-9-4-e-hybrid-auto-elettrica-benzina-blu-azzurro-cat_ma57mo19136-d511910c-2b20-4fef-a01d-b1ec2d8bc1a8
Marche,AN,Ancona,Centro Porsche Treviso,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-taycan-taycan-elettrica-bianco-cat_ma57mo75273-b6883236-b739-4b64-8086-68d1bf9e19fc
Marche,AN,Ancona,Centro Porsche Firenze,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-cayenne-cayenne-3-0-e-hybrid-elettrica-benzina-beige-cat_ma57mo18284-86695aae-8328-43ca-88bc-7b5f9136cdf1
Marche,AN,Ancona,Loria Fabio,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-macan-macan-i-2024-2-0-265cv-pdk-benzina-nero-cat_ma57mo20311-f3c50394-fce7-4d4e-a810-2a83e87e7a64
Marche,AN,Falconara Marittima,M.Car S.p.A,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-320-d-touring-mhev-48v-xdrive-msport-pro-auto-elettrica-diesel-nero-cat_ma13mo1641-b333468c-78a3-485e-9d87-3c1589903b90
Marche,AN,Falconara Marittima,Ariel Car Verona,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-glc-220-d-4m-mild-hyb-advanced-suv-elettrica-diesel-cat_ma47mo21086-8c9fbce6-9054-4fb3-b5a6-9b143dbe7830
Marche,AN,Falconara Marittima,Merbag S.p.a,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-d-amg-line-advanced-4matic-auto-elettrica-diesel-grigio-cat_ma47mo21086-3c097760-6aa8-44fa-98da-d1630a6ee137
Marche,AN,Falconara Marittima,Gruppo Farina,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-sq5-sportback-sq5-3-0-tdi-mhev-48v-quattro-tiptronic-elettrica-diesel-verde-cat_ma9mo20164-48efc1e0-0b1b-4c50-b3eb-beead3f0ea50
Marche,AP,Ascoli Piceno,Centro Assistenza Porsche Livorno,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-macan-gts-2-9-v6-iva-esposta-benzina-nero-cat_ma57mo20311-4affef15-06eb-429f-a9b4-1b76531549af
Marche,AP,Ascoli Piceno,ClelyCar di Pizzi Claudio,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-macan-macan-2-0-245cv-pdk-benzina-grigio-cat_ma57mo20311-8c1d6c10-268e-48bf-9aea-de6bf2b5b7ef
Marche,FM,Fermo,Centro Porsche Bergamo,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Porsche | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/porsche-cayenne-3-0-e-hybrid-tiptronic-elettrica-benzina-nero-cat_ma57mo18284-ab406b34-1197-41d0-80d1-c78c81e1d2dd
Marche,MC,Macerata,Audi Zentrum Varese,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a6-avant-40-2-0-tdi-mhev-12v-s-line-edition-quattro-elettrica-diesel-grigio-cat_ma9mo1628-435575cb-896b-4bfd-b986-58c22b6b590d
Marche,PU,Pesaro,Venezia Auto,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-x6-x6-30d-xdrive-m-sport-pro-298cv-xdrive-panoramico-acc-hud-led-360-luftfederung-keyless-elettrica-diesel-nero-cat_ma13mo19110-f113bbb1-1086-4ef0-94a0-aaebaaf7c26c
Marche,PU,Pesaro,Audi Zentrum Varese,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q5-40-2-0-tdi-mhev-s-line-quattro-s-tronic-elettrica-diesel-grigio-cat_ma9mo19155-1fec5310-1ef6-4c2c-bd14-c1805356f47f
Marche,PU,Pesaro,R-Cars+,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q5-spb-40-tdi-quattro-s-tronic-s-line-plus-elettrica-diesel-blu-azzurro-cat_ma9mo19155-d78b79f8-6a3f-4ab9-bb8d-bd35674cd5ae
Marche,AN,Ancona,Autocomevorrei srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-m4-m4-competition-m-xdrive-benzina-grigio-cat_ma13mo20393-6b6fcd4a-725e-4b5f-8723-01fe10cb8b4e
Marche,AN,Ancona,Panoramauto Torino srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-x1-x1-xdrive-20d-msport-elettrica-diesel-blu-azzurro-cat_ma13mo19242-c3fc3ca9-d376-4930-8fd4-05c19cf8322f
Marche,AN,Ancona,Bonera spa,,,autoscout24,6,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Mercedes-Benz, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x3-xdrive20-msport-pro-auto-elettrica-benzina-grigio-cat_ma13mo18387-56ac9144-d87f-413e-9fab-d7043c1c4995
Marche,AN,Ancona,Viesse Auto Srl,,,autoscout24,6,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | segnali_qualita: si | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-420-m-sport-elettrica-diesel-nero-cat_ma13mo20289-690ffdc6-982f-43c5-89d0-4e1d2437c70b
Marche,AN,Ancona,Biauto Group Torino,,,autoscout24,2,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: micro_operatore | segnali_qualita: si | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-520-serie-5-g61-touring-520d-touring-48v-xdrive-msport-pro-auto-elettrica-diesel-nero-cat_ma13mo1648-d3b77c78-94f6-471e-a29e-231556fd8985
Marche,AN,Ancona,Ceccato Motors Srl,,,autoscout24,9,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Mercedes-Benz, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x1-sdrive20d-mhev-48v-msport-auto-elettrica-diesel-blu-azzurro-cat_ma13mo19242-3512d288-069e-4db6-b2e3-d32c2edc7ac2
Marche,AN,Ancona,Tieffe srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | segnali_qualita: si | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x4-m-xdrivem40d-48v-elettrica-diesel-blu-azzurro-cat_ma13mo74322-fdce2062-05b8-4b7b-baf5-503ae6969920
Marche,AN,Ancona,Auto Simeone Srl,+393358229775,+393358229775,autoscout24,4,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, Mercedes-Benz, BMW | multi_brand: si | archetype_est: micro_operatore | segnali_qualita: si",https://www.autoscout24.it/annunci/bmw-540-d-48v-xdrive-touring-msport-pro-elettrica-diesel-grigio-cat_ma13mo1654-cbf97f45-c154-43de-9c43-6fc4f3292a65
Marche,AN,Ancona,Autoargentiero spa,,,autoscout24,2,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: micro_operatore | segnali_qualita: si | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-840-d-gran-coupe-mhev-48v-xdrive-auto-elettrica-diesel-nero-cat_ma13mo1663-eeff8f8b-5d67-4ea1-8b45-5ca854a7065d
Marche,AN,Ancona,Paderno Motori Srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x3-xdrive20d-msport-pro-20-keyless-pelle-harman-k-iva-elettrica-diesel-bianco-cat_ma13mo18387-1c9e4d79-ff84-49f0-bf58-0f7922b5259a
Marche,AN,Ancona,Automobili di classe Srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x3-x3-x-drive-20d-m-sport-edition-premium-selection-elettrica-diesel-grigio-cat_ma13mo18387-6996fb6e-bdb2-4c1b-ae7a-44275736371f
Marche,AN,Ancona,Autoabruzzo srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-x6-xdrive40d-mhev-48v-msport-auto-elettrica-diesel-nero-cat_ma13mo19110-4f70bf2e-02a0-4239-99a8-54fa1a661e65
Marche,AN,Ancona,Royal Motor - Ad Motor Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | segnali_qualita: si | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-x6-xdrive30d-48v-msport-tetto-apribile-panoramico-elettrica-diesel-nero-cat_ma13mo19110-5abd2adb-529e-43ef-8ade-b12b944caa9d
Marche,AN,Ancona,L' Automobile Srl,,,autoscout24,3,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Mercedes-Benz, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x3-x3-xdrive30i-mhev-48v-auto-elettrica-benzina-nero-cat_ma13mo18387-a75e93a1-33f3-4a15-b2ae-e77b7ced30f8
Marche,AN,Ancona,Ghiraldo & Autoin Srl,+393346464547,+393346464547,autoscout24,4,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, BMW | multi_brand: si | archetype_est: micro_operatore",https://www.autoscout24.it/annunci/bmw-420-420i-coupe-m-sport-auto-184cv-benzina-blu-azzurro-cat_ma13mo20289-371a09c6-3faf-4b76-9d26-3223c9983283
Marche,AN,Ancona,Moretti Bruno Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | segnali_qualita: si | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-520-520d-touring-48v-msport-auto-elettrica-diesel-nero-cat_ma13mo1648-008046e6-fb51-4be1-b3f3-cce8d80d6919
Marche,AN,Ancona,Automonte Group,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/bmw-x3-20-d-msport-xdrive-tetto-panoramico-sedili-elettrici-harman-kardon-elettrica-diesel-grigio-cat_ma13mo18387-8d93f043-8fd9-4557-bfb8-efbc882fbaa1
Marche,AN,Ancona,Frattin Group Srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-x1-xdrive-20d-msport-pro-elettrica-diesel-grigio-cat_ma13mo19242-dbe316cd-4cd6-4443-bc1e-bf349f359d9f
Marche,AN,Ancona,MS Automobili Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-s-580-mercedes-benz-classe-s-580-e-370kw-anno-2022-ibrida-elettrica-benzina-nero-cat_ma47mo75907-db7596ef-e29d-4cde-bc2f-a62e7b460a1c
Marche,AN,Ancona,Centrauto Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-gle-350-de-2-0d-4matic-phev-premium-plug-in-tetto-333cv-elettrica-diesel-nero-cat_ma47mo20920-8fc4a03d-6703-4bb4-a66a-6c49ed93603f
Marche,AN,Ancona,Trivellato Spa,,,autoscout24,10,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-e-300-sw-300-de-phev-amg-line-premium-plus-4matic-auto-elettrica-diesel-grigio-cat_ma47mo15543-0850755a-2e51-45ea-a578-f5dc18afa206
Marche,AN,Ancona,Renty Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-vito-vito-116-tourer-select-extra-long-8-posti-diesel-grigio-cat_ma47mo15942-473c4aae-13b9-4f8b-a750-349fc27aa85a
Marche,AN,Ancona,Delta Motors  S.p.A.,,,autoscout24,2,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-glc-220-d-amg-advanced-4matic-auto-diesel-bianco-cat_ma47mo21086-464e6580-5231-4102-9b93-10145c5de5e8
Marche,AN,Ancona,Rossi Srl Nuovo,,,autoscout24,3,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-cla-250-+-con-tecnologia-eq-elettrica-bianco-cat_ma47mo20232-523faa4d-ad0a-4535-b4f2-5cc7d8ad27b8
Marche,AN,Ancona,MotorLaghi srls,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-300-glc-coupe-de-phev-amg-line-premium-plus-4matic-elettrica-diesel-nero-cat_ma47mo74551-7099d19f-acec-487c-970b-9aa49383fa41
Marche,AN,Ancona,AutoZatti Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-glc-x254-d-amg-premium-plus-4matic-auto-prezzo-reale-elettrica-diesel-argento-cat_ma47mo21086-64d4b98d-44d7-41f5-a255-60d2867f6740
Marche,AN,Ancona,Gruppo Autobrema srl,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Mercedes-Benz, Porsche | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/mercedes-benz-gle-450-gle-v167-2019-mhev-eq-boost-premium-4matic-auto-elettrica-benzina-nero-cat_ma47mo20922-31ef0c4e-1fe4-430b-8a9e-9927c49df695
Marche,AN,Ancona,De Stefani Group Spa,,,autoscout24,2,,no,escluso,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, Mercedes-Benz | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/mercedes-benz-glc-300-glc-coupe-300-de-4matic-plug-in-hybrid-amg-line-premium-night-pack-elettrica-diesel-cat_ma47mo74551-23968506-2512-4bb2-a0df-995091852d4b
Marche,AN,Ancona,Elitcar Srl,,,autoscout24,2,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-4matic-advanced-plus-elettrica-benzina-nero-cat_ma47mo75201-85cf91d7-a9c6-4c34-8f5d-38f42599eb72
Marche,AN,Ancona,Ursi Rent Srls,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-gle-350-de-hybrid-eq-amg-line-premium-plus-4matic-elettrica-diesel-grigio-cat_ma47mo20920-876c5cd4-05e9-4e3c-9515-946ae51e25b1
Marche,AN,Ancona,Merbag S.p.A-Concessionaria Mercedes-Benz a Milano,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-c-220-d-4mat-all-terrain-premium-icon-collection-elettrica-diesel-argento-cat_ma47mo2147-5dcff75a-8e0b-4845-9b10-ba1f5886887c
Marche,AN,Ancona,Carraro Spa,,,autoscout24,4,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: micro_operatore | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-d-4matic-coupe-diesel-grigio-cat_ma47mo21086-2854afc6-708e-4cc5-a682-5eeb49dc5091
Marche,AN,Ancona,Officina Dei Motori Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-rs-q8-rs-q8-4-0-mhev-quattro-tiptronic-full-ppf-opaco-elettrica-benzina-nero-cat_ma9mo75481-b4ab6e5c-e05f-4957-a7bb-a2352e3d38d5
Marche,AN,Ancona,AutoVogue Srl,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a5-a5-sportback-40-2-0-tdi-mhev-s-line-edition-204cv-s-tronic-elettrica-diesel-nero-cat_ma9mo19047-441d93f2-b21d-464f-9a6e-a0ec8ceaf6bf
Marche,AN,Ancona,Scarabel Spa,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a5-berlina-2-0-tdi-mhev+-business-advanced-204cv-s-tr-diesel-grigio-cat_ma9mo19047-e18921f0-2042-4e6b-9e01-fefbe812a054
Marche,AN,Ancona,Gruppo Bonifacio s.r.l.,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q8-50-3-0-tdi-sport-s-line-quattro-tiptronic-iva-esposta-gia-inclusa-tassa-pagata-fino-al-05-27-e-gommata-nuova-elettrica-diesel-bianco-cat_ma9mo74734-256bb31e-090b-43f7-b0c5-9da7d2d96909
Marche,AN,Ancona,Autodoc s.r.l.,,,autoscout24,1,,no,escluso,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q5-spb-40-tdi-quattro-s-tronic-s-line-elettrica-diesel-grigio-cat_ma9mo19155-f81bb5dc-a47e-41e7-90f2-cd5c1eb2894b
